VerChgId,VerId,VerChgDesc
1,2,"+ UDF dbo.ExtractNumber(value varchar(250) [int] - выбирает первый набор цифр из строки и возвращает число, либо NULL при отсутствии цифр"
2,2,"расширено поле MAINOKONH в таблице ORG до 15 символов"
3,2,"в таблице ORG добавлены поля OKATO2, OKATO3 varchar(11)"
4,2,"в таблице ORG_CONTдобавлены поля FAM, IM и OTCH varchar(50), поле FIO - вычисляемое"
5,2,"в таблице ORG поле INN расширено до 15 символов"
6,2,"обновлено поле EXPRESSION таблицы FORM6 значением из справочника KCPROF"
7,2,"обновлена хранимая процедура sp_ImportOrg"
8,2,"обновлена хранимая процедура sp_ImportSubj"
9,3,"удалено ограничение FK_KONH_KBONH"
10,3,"удалено ограничение FK_USER_ACCESS_USER_FUNCTION"
11,3,"удалено ограничение FK_USER_ACCESS_USER_INFO"
12,3,"удалено ограничение FK_ORG_KONH"
13,3,"удалено ограничение FK_FONH_SUBJ"
14,3,"удалена процедура sp_FONHClear"
15,3,"удалена процедура sp_FONHCreate"
16,3,"удалена процедура sp_FONHGenerate"
17,3,"удалена процедура sp_UserCardDelete"
18,3,"удалена таблица FONH"
19,3,"удалена таблица KONH"
20,3,"удалена таблица USER_ACCESS"
21,3,"удалена таблица KBONH"
22,3,"удалена таблица USER_FUNCTION"
23,3,"удалена таблица USER_INFO"
24,3,"удалён индекс IX_ORG_1"
25,3,"удалено поле KONH_ID"
26,3,"добавлена таблица Event"
27,3,"добавлена таблица EventDetail"
28,3,"добавлена таблица FFS"
29,3,"добавлена таблица FOKVED"
30,3,"в таблице KFS добавлено поле ForForm"
31,3,"добавлена таблица KOKVED"
32,3,"добавлена таблица Users"
33,3,"в таблице ORG добавлены поля Feature1, Feature2, Feature3"
34,3,"в таблице SUBJ добавлены поля KODREG, REPORT_DATE"
35,3,"в таблице KTERR поле KODTERR увеличено до 20-ти символов"
36,3,"в таблице KL_FLD поле FLD_NAME увеличено до 30-ти символов"
37,3,"в таблице VV3 поле NAME увеличено до 50-ти символов"
38,3,"в таблице ORG поле OKATO2 увеличено до 50-ти символов"
39,3,"в таблице ORG поле OKATO3 увеличено до 50-ти символов"
40,3,"добавлен вид KOKVED_"
41,3,"добавлен вид KFS_"
42,3,"обновлён вид v_SUBJ"
43,3,"обновлён вид v_ORG"
44,3,"обновлён вид v_ORG_01"
45,3,"обновлён вид v_ORG_02"
46,3,"обновлён вид v_ORG_03,"
47,3,"обновлена функция GetSubjMask"
48,3,"обновлена процедура sp_SubjCardDelete"
49,3,"добавлена хранимая процедура sp_FFSClear"
50,3,"добавлена хранимая процедура sp_FFSGenerate"
51,3,"добавлена хранимая процедура sp_FFSCreate"
52,3,"добавлена хранимая процедура sp_FOKVEDClear"
53,3,"добавлена хранимая процедура sp_FOKVEDCreate"
54,3,"добавлена хранимая процедура sp_FOKVEDGenerate"
55,3,"добавлена хранимая процедура CHECK_F6"
56,3,"обновлена процедура sp_ImportSubj"
57,3,"обновлена процедура sp_ImportOrg"
58,3,"обновлена процедура sp_CalcSubjParams"
59,3,"изменилось содержимое таблиц KL_DATA и KL_FLD"
60,3,"заполнена таблица KOKVED"
61,3,"заполнена таблица Users"
62,3,"изменилось содержимое таблицы SUBJ_TYPE"
63,3,"изменилось содержимое таблицы VV5"
64,3,"в таблице KFS установлены значения для поля ForForm"
65,4,"обновлена процедура sp_CalcSubjParams"
66,4,"обновлена процедура sp_FFSGenerate"
67,4,"изменилось содержимое таблиц SUBJ_INFO_TYPE, FORM6 и KCPROF"
68,5,"обновлена процедура CHECK_F6"
69,5,"добавлен справочник военкоматов"
70,5,"в справочнике ""Место регистрации"" значение ""МНС"" заменено на ""ФНС""
71,5,"в таблицу ORG добавлено поле OVK_ID"
72,5,"в таблице ORG поля Feature увеличены до 100 символов"
73,5,"обновлена процедура sp_ImportOrg"
74,5,"обновлена процедура sp_ImportSubj"
75,6,"исправлен сквозной контроль ф.6 организаций"
76,6,"импорт из ВУРа поддерживает номера перечней и разделов из выписки из ПДП"
77,6,"из таблицы с перечнями убраны столбцы: документ, номер, дата для назначения перечня"
78,6,"исправлено содержимое словарей: ОКОПФ, основания для бронирования, документы"
79,6,"в таблице KOPF поле KOPF_NAME увеличено до 150-ти символов"
80,6,"изменена система лицензирования"
81,7,"изменен вид v_ORG"