OKTMO_ID,NAME,KODOKTMO,SHORTNAME
1,"Муниципальные образования города Москвы (столицы Российской Федерации города Федерального значения)","45",
2,"Богородское","45301000",
3,"Вешняки","45302000",
4,"Восточное Измайлово","45303000",
5,"Восточное","45304000",
6,"Гольяново","45305000",
7,"Ивановское","45306000",
8,"Измайлово","45307000",
9,"Косино-Ухтомское","45308000",
10,"Новогиреево","45309000",
11,"Новокосино","45310000",
12,"Метрогородок","45311000",
13,"Перово","45312000",
14,"Северное Измайлово","45313000",
15,"Соколиная Гора","45314000",
16,"Сокольники","45315000",
17,"Преображенское","45316000",
18,"Внуково","45317000",
19,"Дорогомилово","45318000",
20,"Крылатское","45319000",
21,"Кунцево","45320000",
22,"Можайское","45321000",
23,"Ново-Переделкино","45322000",
24,"Очаково-Матвеевское","45323000",
25,"Проспект Вернадского","45324000",
26,"Раменки","45325000",
27,"Солнцево","45326000",
28,"Тропарево-Никулино","45327000",
29,"Филевский Парк","45328000",
30,"Фили-Давыдково","45329000",
31,"Крюково","45330000",
32,"Матушкино","45331000",
33,"Силино","45332000",
34,"Аэропорт","45333000",
35,"Беговое","45334000",
36,"Бескудниковское","45335000",
37,"Войковское","45336000",
38,"Восточное Дегунино","45337000",
39,"Головинское","45338000",
40,"Дмитровское","45339000",
41,"Западное Дегунино","45340000",
42,"Коптево","45341000",
43,"Левобережное","45342000",
44,"Молжаниновское","45343000",
45,"Савеловское","45344000",
46,"Сокол","45345000",
47,"Тимирязевское","45346000",
48,"Ховрино","45347000",
49,"Хорошевское","45348000",
50,"Алексеевское","45349000",
51,"Алтуфьевское","45350000",
52,"Бабушкинское","45351000",
53,"Бибирево","45352000",
54,"Бутырское","45353000",
55,"Лианозово","45354000",
56,"Лосиноостровское","45355000",
57,"Марфино","45356000",
58,"Марьина Роща","45357000",
59,"Останкинское","45358000",
60,"Отрадное","45359000",
61,"Ростокино","45360000",
62,"Свиблово","45361000",
63,"Северное Медведково","45362000",
64,"Северное","45363000",
65,"Южное Медведково","45364000",
66,"Ярославское","45365000",
67,"Куркино","45366000",
68,"Митино","45367000",
69,"Покровское-Стрешнево","45368000",
70,"Северное Тушино","45369000",
71,"Строгино","45370000",
72,"Хорошево-Мневники","45371000",
73,"Щукино","45372000",
74,"Южное Тушино","45373000",
75,"Арбат","45374000",
76,"Басманное","45375000",
77,"Замоскворечье","45376000",
78,"Савелки","45377000",
79,"Красносельское","45378000",
80,"Мещанское","45379000",
81,"Пресненское","45380000",
82,"Таганское","45381000",
83,"Тверское","45382000",
84,"Хамовники","45383000",
85,"Якиманка","45384000",
86,"Выхино-Жулебино","45385000",
87,"Капотня","45386000",
88,"Кузьминки","45387000",
89,"Лефортово","45388000",
90,"Люблино","45389000",
91,"Марьино","45390000",
92,"Некрасовка","45391000",
93,"Нижегородское","45392000",
94,"Печатники","45393000",
95,"Рязанское","45394000",
96,"Текстильщики","45395000",
97,"Южнопортовое","45396000",
98,"Академическое","45397000",
99,"Гагаринское","45398000",
100,"Зюзино","45901000",
101,"Коньково","45902000",
102,"Котловка","45903000",
103,"Ломоносовское","45904000",
104,"Обручевское","45905000",
105,"Северное Бутово","45906000",
106,"Теплый Стан","45907000",
107,"Черемушки","45908000",
108,"Южное Бутово","45909000",
109,"Ясенево","45910000",
110,"Бирюлево Восточное","45911000",
111,"Бирюлево Западное","45912000",
112,"Братеево","45913000",
113,"Даниловское","45914000",
114,"Донское","45915000",
115,"Зябликово","45916000",
116,"Москворечье-Сабурово","45917000"
117,"Нагатино-Садовники","45918000",
118,"Нагатинский Затон","45919000",
119,"Нагорное","45920000",
120,"Орехово-Борисово Северное","45921000",
121,"Орехово-Борисово Южное","45922000",
122,"Царицыно","45923000",
123,"Чертаново Северное","45924000",
124,"Чертаново Центральное","45925000",
125,"Чертаново Южное","45926000",
126,"Старое Крюково","459272000",